Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
"Alexion Pharmaceuticals, Inc.",5000,2500,Biotechnology Research,"Biotechnology, Biopharmaceutical, Complement Inhibition, Metabolic Disorders, Neurology, Rare Diseases, Research and Development, hematology, nephrology",Public Company,United States,Boston,EST
Watco Companies LLC,1400,3500,Transportation/Trucking/Railroad,"Railroad, Switching, Ports, Logistics, Design and Engineering, Real Estate and Industrial Development, Warehousing, Material Handling and Storage, Wind Energy Logistics, Freight Transportation, Intermodal, Marine Terminals, Transload Terminals, Railcar Repair and Maintenance, Supply Chain, Railcar Storage, Transloading, Vessel Charter, Cargo Handling, Trucking, Stevedoring, Inventory Management, Barge , Marine Operations",Privately Held,United States,Pittsburg,EST
Bechtel Power,12000,53000,Construction,,Privately Held,United States,Reston,EST
Teleflex,2100,12000,Medical Equipment Manufacturing,,Public Company,United States,Wayne,EST
Advanced Military Maintenance Repair & Overhaul Center (AMMROC),1000,2200,Airlines and Aviation,,Privately Held,United Arab Emirates,Abu Dhabi,GST
American Eagle Airlines,5000,13000,Aviation and Aerospace Component Manufacturing,,Public Company,United States,Irving,EST
Julphar,900,4600,Pharmaceutical Manufacturing,"Pharmaceuticals, Generics, Manufacturing, Insulin, Biotechnology, Biopharmaceuticals, Diabetes, Consumer Care, Pain Management, OTC, Innovation, R&D, Research & Development, Healthcare, UAE, MEA, Middle East, Pharma, Pharmacological",Public Company,United Arab Emirates,Ras Al Khaimah,GST
SanMar,3200,4000,Retail Apparel and Fashion,"promotional apparel, wholesale supplier",Privately Held,United States,Issaquah,EST
IEHP,1500,2000,Hospital & Health Care,"HMO Healthcare Insurance, managed care, Medicaid, Medi-Cal, Medicare",Nonprofit,United States,Rancho Cucamonga,EST
Eisai US,800,5000,Pharmaceutical Manufacturing,"Neurology, Gastroenterology, Alzheimer's disease, Oncology, Epilepsy, Insomnia, Metastatic breast cancer, renal cell carcinoma, hepatocellular carcinoma, dementia, endometrial cancer",Public Company,United States,Nutley,EST
Hillrom,2500,10000,Medical Equipment Manufacturing,"Smart Beds, Surfaces, Patient Monitoring, Patient Mobility, Patient Handling, Care Communications, Surgical Workflow, Precision Positioning, Non-Invasive Respiratory Therapy, SmartCare Services, Vision Screening, Diagnostics, Physical Exam, Diagnostic Cardiology, Surgical Access",Public Company,United States,Chicago,EST
Drury Hotels,1200,1500,Hospitality,"Careers, Meetings, Events, Groups, Tours, Business Travel, Legacy, Hospitality, Customer Service, Family Owned, Hotel, Quality, Service, Profitability, Teamwork, Culture, Travel, Awards, Rewards, Loyalty, resort",Privately Held,United States,St Louis,EST
Aramark Refreshments,3100,18000,Food and Beverage Services,"Breakroom Services, Coffee, Water, Vending",Public Company,United States,Philadelphia,EST
Covetrus,4000,5600,Non-profit Organization Management,,Privately Held,United States,Portland,EST
"Brasfield & Gorrie, LLC",5000,3200,Construction,"Design-Build, Construction Management, General Contracting, Self-Perform, Lean Construction, Virtual Design and Construction, Design-Build",Privately Held,United States,Birmingham,EST
Foundation Building Materials,2200,3100,Wholesale Building Materials,"Building Materials, Drywall, Steel Studs, Acoustical Ceilings, Insulation, Tools and Fasteners, Stucco, Lath and Plaster, Insulation, Wallboard, Fiberglass Reinforced Plastic, Exterior Insulation and Finish System, Logistics, Delivery, Building Materials, Construction, Building Supply",Public Company,United States,Santa Ana,EST
Almoosa Health Group,800,4200,Hospitals and Health Care,"Neurosurgery, Ophthalmology, Urology, Plastic & Burn Surgery, Vascular Surgery, Physiotherapy, Dermatology, Nursery & Neonatal Intensive Care, Radiology, Pediatrics, Cardiology, Nephrology, Hemodialysis, Vascular Surgery, Dentistry, oncology, orthopedic",Privately Held,Saudi Arabia,Almubrraz,AST
Al Ahli Bank of Kuwait,900,2000,Banking,"Corporate, Investment, Private, Financing, Retail",Public Company,Kuwait,Safat,AST
Iusacell,750,1500,Telecommunications,"Telecomunicaciones, Internet Móvil, Telefonía Celular, Localización, Soluciones Integrales de Comunicación para Empresas",Privately Held,Mexico,Mexico City,CST
EmCare,2200,13000,Hospitals and Health Care,"emergency physician services, solutions for hospitals, inpatient physician services, inpatient radiology management programs, anesthesiology services, acute care surgery",Public Company,United States,Dallas,EST
STERIS,3000,8000,Medical Equipment Manufacturing,"infection prevention, contamination control, surgical technologies, instrument repair, equipment repair services, applied sterilization technologies, endoscopy, sterile processing, operating room equipment, biodecontamination, gamma irradiation, electron beam irradiation, research laboratory equipment, ethylene oxide sterilization, sterility assurance",Public Company,United States,Mentor,EST
Ramada by Wyndham,500,2200,Hospitality,,Public Company,United States,Parsippany,EST
The Hillman Group,1200,2900,Manufacturing,,Public Company,United States,Cincinnati,EST
"Zakat, Tax and Customs Authority",600,1200,Government Administration,"Zakat, Tax, VAT, customs",Government Agency,Saudi Arabia,Saudi Arabia,AST
Life Technologies,3500,10000,Biotechnology Research,"Invitrogen, Applied Biosystems, Biotechnology tools and solutions, Sequencing, Reagents, Assays and kits, Benchtop, PCR instruments and consumables, Cloning and gene synthesis, Genome editing, Exosomes, Transfection, Protein expression and analysis, Cell media",Public Company,United States,Waltham,EST
Louisiana-Pacific Corporation,3200,4300,Wholesale Building Materials,,Public Company,United States,Nashville,EST
PACCAR,23000,27000,Motor Vehicle Manufacturing,"Kenworth Truck Company, Peterbilt Motors Company, DAF Trucks, Information Technology Division, PACCAR Engine Company, PACCAR Mexico, Dynacraft, PACCAR of Canada Ste-Therese, PACCAR Winch, Leyland Trucks, PACCAR Financial Services, PACCAR Technical Center, PACCAR Parts, PACCAR Leasing",Public Company,United States,Bellevue,EST
Mobile Mini Solutions,1500,2000,Packaging and Containers Manufacturing,"Lease Portable Storage Containers, Secure On-site Storage, Secure Storage, Storage Containers, Specialty Containment",Public Company,United States,Phoenix,EST
"GOJO, Makers of PURELL",900,1500,Manufacturing,"Skin Care, Hand Sanitizing, Hand Hygiene, Hand Washing, Surface Disinfection, Surface Sanitation, Surface Cleaning, Infection Prevention, Infection Control, Health, Wellbeing, Skin Health, Dispensing Solutions, Innovative Technology, Formulation, Sustainability, Environmental Sustainability",Privately Held,United States,Akron,EST
OGE Energy Corp.,4200,2300,Utilities,"Electrical Power Generation, Electrical Power Delivery to Residential and Commercial Consumers, Smart Grid Sustainability, Wind Generation",Public Company,United States,Oklahoma City,EST
TranSystems,600,1200,Civil Engineering,"Transportation Engineering, Transportation Planning, Transportation Architecture, Bridges, Intermodal, Construction Management",Privately Held,United States,Kansas City,EST
Duquesne Light Company,900,1400,Utilities,"Providing a safe, reliable and affordable supply of energy and tools to homes, businesses and communities. Duquesne Light puts more information in the hands of our customers, allowing them to make more informed decisions about their energy consumption.",Privately Held,United States,Pittsburgh,EST
Nucor Corporation,25000,26000,Manufacturing,"Carbon Steel, Cold Finished Steel, Steel Buildings, Structual Products, Steel Joists and Girders, Steel Deck, Steel Fasteners, Direct Reduced Iron, Sheet Steel, Scrap and Alloys, Automotive Steel, High Carbon and Alloy Steel, Galvanized Steel",Public Company,United States,Charlotte,EST
Fuchs Lubricants Co.,500,1400,Chemical Manufacturing,"industrial lubricants, greases, cutting fluids, metalworking fluids, coolants, mining, specialty lubricants, automotive, lubricating greases, Services, wind power, forging, Gear lubrication, construction, Cement, Sugar, metal processing, Food and Beverage, Rail, E-mobility",Public Company,United States,Harvey,EST
L.A. Care Health Plan,3200,1900,Hospitals and Health Care,"HMO, Health Information Technology, Healthcare Insurance, Community Health",Nonprofit,United States,Los Angeles,EST
CertainTeed,3000,6000,Wholesale Building Materials,"Manufacturer, Building Materials, Roofing, Siding, Insulation, Drywall, Ceilings",Privately Held,United States,Malvern,EST
AlMansoori Petroleum Services,500,2200,Oil and Gas,"Colied Tubing & Stimulation, Directional Drilling, Drill Stem Testing, Early Production Facilities, H2S & Safety Services, Inspection (BHA, Coiled Tubing, Lifting Equipment, OCTG, Rigs), Logging & Perforating, Manpower Supply, Oilfield Manufacturing, Representation of Companies, Safety & Technical Training, Slickline, Well Testing, Workover",Privately Held,United Arab Emirates,Abu Dhabi,GST
Bahri,1200,800,Truck Transportation,"Oil Transportation, Chemicals Transportation, General Cargo Transportation, Dry Bulk Transportation, Ship Management, Gas & Marine Services, Logistics Services",Public Company,Saudi Arabia,Riyadh,AST
Univar Solutions,8600,9400,Chemical Manufacturing,"Industries served: agricultural chemicals, biofuels, chemical manufacturing, coatings, compounding, energy, food, forestry, mining, pharmaceutical, personal care, pest control, waste management, water treatment, agriculture, chemical distribution, adhesives, Clean Foods",Public Company,United States,Downers Grove,EST
HollyFrontier,15000,3700,Oil and Gas,,Public Company,United States,Dallas,EST
Hewlett-Packard,58000,49000,IT Services and IT Consulting,,Public Company,United States,Palo Alto,EST
Reynolds American Inc.,11000,5700,Tobacco Manufacturing,Mfg Consumer Tobacco Products,Public Company,United States,Winston-Salem,EST
BAE Systems Saudi Arabia,2200,2500,Defense and Space Manufacturing,"Combat Systems, Information Technology, Transformational Communications, Cyber and Intelligence, Aircraft manufacture, Engineering",Public Company,Saudi Arabia,Riyadh,AST
StandardAero,1500,6000,Aviation and Aerospace Component Manufacturing,,Privately Held,United States,Scottsdale,EST
Republic National Distributing Company,6800,13000,Beverage Manufacturing,"Spirits and Wine Distribution, Customer Service, Supplier Relationships, Sales Management, Operational Excellence, Employer of Choice",Privately Held,United States,Grand Prairie,EST
Dar Al Shifa Hospital,400,2100,Hospital & Health Care,"Healthcare -, Anesthesia & Intensive care, Cardiology, Dermatology & Cosmetics, Ear, Nose & Throat (ENT), Obstetrics & Gynecology, Reproductive Medicine, Pediatrics, Plastic surgery, Urology & Male Reproduction, Ophthalmology, Pain Management",Privately Held,Kuwait,"Hawalli,",AST
dormakaba Americas,3200,9400,Wholesale Building Materials,"Door Hardware, Automatic/Revolving Doors, Glass Systems, Space Division Products, Electronic Access Control, Entrance Systems, Safe Locks, Maintenance and Installation Services, Workforce Solutions, Lodging Electronic Locking Solutions and Access Control Systems",Public Company,United States,Indianapolis,EST
Terex Corporation,4100,10600,Machinery Manufacturing,"Terex builds the equipment that helps build the world's infrastructure., Terex mobile cranes, Powerscreen crushing and screening equipment, EvoQuip compact crushing and screening equipment, Fuchs material handlers, Terex Finlay crushing and screening equipment, CBI horizontal grinders and industrial wood chippers, Terex utility aerial devices, digger derricks and auger tools, Terex Financial Services, Genie telehandlers, Terex Ecotec wood processing, biomass and recycling equipment, Terex Bid-Well concrete roller pavers, Terex front discharge mixer trucks, Terex MPS crushing and screening equipment, Genie booms, lifts and work platforms",Public Company,United States,Norwalk,EST
"Legrand, North America",5000,13000,"Appliances, Electrical, and Electronics Manufacturing",,Public Company,United States,West Hartford,EST
Acuity Brands,3300,12000,"Appliances, Electrical, and Electronics Manufacturing","Lighting Fixtures, Lighting Controls, Lighting Solutions, Technology, IoT, Smart Buildings, Internet of Things, Industry Solutions, LED Lighting, Building Automation",Public Company,United States,Atlanta,EST
"Ingalls Shipbuilding, a Division of HII",5000,12000,Shipbuilding,"San Antonio Class LPDs, America Class LHAs, Arleigh Burke Class DDGs, National Security Cutters",Public Company,United States,Pascagoula,EST
Spansion is Cypress Semiconductor,1400,3400,Semiconductor Manufacturing,"Charge trapping technology, NOR Flash Memory, NAND Flash Memory, Serial Flash Memory, ARM Microcontrollers, Analog Products, Power Management ICs, Energy Harvesting ICs",Public Company,United States,Sunnyvale,EST
